_mm256_add_pd,VADDPD
_mm512_movepi32_mask,VPMOVD2M
_mm_movepi32_mask,VPMOVD2M
_mm256_movm_epi32,VPMOVM2D
_mm512_movm_epi32,VPMOVM2D
_mm_movm_epi32,VPMOVM2D
_mm256_movm_epi64,VPMOVM2Q
_mm512_movm_epi64,VPMOVM2Q
_mm_movm_epi64,VPMOVM2Q
_mm256_movepi64_mask,VPMOVQ2M
_mm512_movepi64_mask,VPMOVQ2M
_mm_movepi64_mask,VPMOVQ2M
_mm256_mask_mullo_epi64,VPMULLQ
_mm256_maskz_mullo_epi64,VPMULLQ
_mm256_mullo_epi64,VPMULLQ
_mm512_mask_mullo_epi64,VPMULLQ
_mm512_maskz_mullo_epi64,VPMULLQ
_mm512_mullo_epi64,VPMULLQ
_mm_mask_mullo_epi64,VPMULLQ
_mm_maskz_mullo_epi64,VPMULLQ
_mm_mullo_epi64,VPMULLQ
_mm256_mask_range_pd,VRANGEPD
_mm256_maskz_range_pd,VRANGEPD
_mm256_range_pd,VRANGEPD
_mm512_mask_range_pd,VRANGEPD
_mm512_maskz_range_pd,VRANGEPD
_mm512_range_pd,VRANGEPD
_mm_mask_range_pd,VRANGEPD
_mm_maskz_range_pd,VRANGEPD
_mm_range_pd,VRANGEPD
_mm256_mask_range_ps,VRANGEPS
_mm256_maskz_range_ps,VRANGEPS
_mm256_range_ps,VRANGEPS
_mm512_mask_range_ps,VRANGEPS
_mm512_maskz_range_ps,VRANGEPS
_mm512_range_ps,VRANGEPS
_mm_mask_range_ps,VRANGEPS
_mm_maskz_range_ps,VRANGEPS
_mm_range_ps,VRANGEPS
_mm_mask_range_sd,VRANGESD
_mm_maskz_range_sd,VRANGESD
_mm_mask_range_ss,VRANGESS
_mm_maskz_range_ss,VRANGESS
_mm256_mask_xor_pd,VXORPD
_mm256_maskz_xor_pd,VXORPD
_mm512_mask_xor_pd,VXORPD
_mm512_maskz_xor_pd,VXORPD
_mm512_xor_pd,VXORPD
_mm_mask_xor_pd,VXORPD
_mm_maskz_xor_pd,VXORPD
_mm256_mask_xor_ps,VXORPS
_mm256_maskz_xor_ps,VXORPS
_mm512_mask_xor_ps,VXORPS
_mm512_maskz_xor_ps,VXORPS
_mm512_xor_ps,VXORPS
_mm_mask_xor_ps,VXORPS
_mm_maskz_xor_ps,VXORPS
_kadd_mask8,KADDB
_kadd_mask16,KADDW
_kand_mask8,KANDB
_kandn_mask8,KANDNB
_knot_mask8,KNOTB
_kor_mask8,KORB
_kxnor_mask8,KXNORB
_kxor_mask8,KXORB
_kshiftli_mask8,KSHIFTLB
_kshiftri_mask8,KSHIFTRB
_kortestz_mask8_u8,KORTESTB
_kortestc_mask8_u8,KORTESTB
_ktestz_mask8_u8,KTESTB
_ktestc_mask8_u8,KTESTB
_ktestz_mask16_u8,KTESTW
_ktestc_mask16_u8,KTESTW
_cvtmask8_u32,KMOVB
_cvtu32_mask8,KMOVB
_mm256_mask_add_pd,VADDPD
_mm256_maskz_add_pd,VADDPD
_mm_mask_add_pd,VADDPD
_mm_maskz_add_pd,VADDPD
_mm256_mask_add_ps,VADDPS
_mm256_maskz_add_ps,VADDPS
_mm_mask_add_ps,VADDPS
_mm_maskz_add_ps,VADDPS
_mm256_alignr_epi32,VALIGND
_mm256_mask_alignr_epi32,VALIGND
_mm256_maskz_alignr_epi32,VALIGND
_mm_alignr_epi32,VALIGND
_mm_mask_alignr_epi32,VALIGND
_mm_maskz_alignr_epi32,VALIGND
_mm256_alignr_epi64,VALIGNQ
_mm256_mask_alignr_epi64,VALIGNQ
_mm256_maskz_alignr_epi64,VALIGNQ
_mm_alignr_epi64,VALIGNQ
_mm_mask_alignr_epi64,VALIGNQ
_mm_maskz_alignr_epi64,VALIGNQ
_mm256_mask_blend_pd,VBLENDMPD
_mm_mask_blend_pd,VBLENDMPD
_mm256_mask_blend_ps,VBLENDMPS
_mm_mask_blend_ps,VBLENDMPS
_mm256_broadcast_f32x4,VBROADCASTF32X4
_mm256_mask_broadcast_f32x4,VBROADCASTF32X4
_mm256_maskz_broadcast_f32x4,VBROADCASTF32X4
_mm256_broadcast_i32x4,VBROADCASTI32X4
_mm256_mask_broadcast_i32x4,VBROADCASTI32X4
_mm256_maskz_broadcast_i32x4,VBROADCASTI32X4
_mm256_mask_broadcastsd_pd,VBROADCASTSD
_mm256_maskz_broadcastsd_pd,VBROADCASTSD
_mm256_mask_broadcastss_ps,VBROADCASTSS
_mm256_maskz_broadcastss_ps,VBROADCASTSS
_mm_mask_broadcastss_ps,VBROADCASTSS
_mm_maskz_broadcastss_ps,VBROADCASTSS
_mm256_mask_compress_pd,VCOMPRESSPD
_mm256_maskz_compress_pd,VCOMPRESSPD
_mm_mask_compress_pd,VCOMPRESSPD
_mm_maskz_compress_pd,VCOMPRESSPD
_mm256_mask_compress_ps,VCOMPRESSPS
_mm256_maskz_compress_ps,VCOMPRESSPS
_mm_mask_compress_ps,VCOMPRESSPS
_mm_maskz_compress_ps,VCOMPRESSPS
_mm256_mask_cvtepi32_pd,VCVTDQ2PD
_mm256_maskz_cvtepi32_pd,VCVTDQ2PD
_mm_mask_cvtepi32_pd,VCVTDQ2PD
_mm_maskz_cvtepi32_pd,VCVTDQ2PD
_mm256_mask_cvtepi32_ps,VCVTDQ2PS
_mm256_maskz_cvtepi32_ps,VCVTDQ2PS
_mm_mask_cvtepi32_ps,VCVTDQ2PS
_mm_maskz_cvtepi32_ps,VCVTDQ2PS
_mm256_mask_cvtpd_epi32,VCVTPD2DQ
_mm256_maskz_cvtpd_epi32,VCVTPD2DQ
_mm_mask_cvtpd_epi32,VCVTPD2DQ
_mm_maskz_cvtpd_epi32,VCVTPD2DQ
_mm256_mask_cvtpd_ps,VCVTPD2PS
_mm256_maskz_cvtpd_ps,VCVTPD2PS
_mm_mask_cvtpd_ps,VCVTPD2PS
_mm_maskz_cvtpd_ps,VCVTPD2PS
_mm256_cvtpd_epu32,VCVTPD2UDQ
_mm256_mask_cvtpd_epu32,VCVTPD2UDQ
_mm256_maskz_cvtpd_epu32,VCVTPD2UDQ
_mm_cvtpd_epu32,VCVTPD2UDQ
_mm_mask_cvtpd_epu32,VCVTPD2UDQ
_mm_maskz_cvtpd_epu32,VCVTPD2UDQ
_mm256_mask_cvtps_epi32,VCVTPS2DQ
_mm256_maskz_cvtps_epi32,VCVTPS2DQ
_mm_mask_cvtps_epi32,VCVTPS2DQ
_mm_maskz_cvtps_epi32,VCVTPS2DQ
_mm256_cvtps_epu32,VCVTPS2UDQ
_mm256_mask_cvtps_epu32,VCVTPS2UDQ
_mm256_maskz_cvtps_epu32,VCVTPS2UDQ
_mm_cvtps_epu32,VCVTPS2UDQ
_mm_mask_cvtps_epu32,VCVTPS2UDQ
_mm_maskz_cvtps_epu32,VCVTPS2UDQ
_mm256_mask_cvttpd_epi32,VCVTTPD2DQ
_mm256_maskz_cvttpd_epi32,VCVTTPD2DQ
_mm_mask_cvttpd_epi32,VCVTTPD2DQ
_mm_maskz_cvttpd_epi32,VCVTTPD2DQ
_mm256_cvttpd_epu32,VCVTTPD2UDQ
_mm256_mask_cvttpd_epu32,VCVTTPD2UDQ
_mm256_maskz_cvttpd_epu32,VCVTTPD2UDQ
_mm_cvttpd_epu32,VCVTTPD2UDQ
_mm_mask_cvttpd_epu32,VCVTTPD2UDQ
_mm_maskz_cvttpd_epu32,VCVTTPD2UDQ
_mm256_mask_cvttps_epi32,VCVTTPS2DQ
_mm256_maskz_cvttps_epi32,VCVTTPS2DQ
_mm_mask_cvttps_epi32,VCVTTPS2DQ
_mm_maskz_cvttps_epi32,VCVTTPS2DQ
_mm256_cvttps_epu32,VCVTTPS2UDQ
_mm256_mask_cvttps_epu32,VCVTTPS2UDQ
_mm256_maskz_cvttps_epu32,VCVTTPS2UDQ
_mm_cvttps_epu32,VCVTTPS2UDQ
_mm_mask_cvttps_epu32,VCVTTPS2UDQ
_mm_maskz_cvttps_epu32,VCVTTPS2UDQ
_mm256_cvtepu32_pd,VCVTUDQ2PD
_mm256_mask_cvtepu32_pd,VCVTUDQ2PD
_mm256_maskz_cvtepu32_pd,VCVTUDQ2PD
_mm_cvtepu32_pd,VCVTUDQ2PD
_mm_mask_cvtepu32_pd,VCVTUDQ2PD
_mm_maskz_cvtepu32_pd,VCVTUDQ2PD
_mm256_mask_div_pd,VDIVPD
_mm256_maskz_div_pd,VDIVPD
_mm_mask_div_pd,VDIVPD
_mm_maskz_div_pd,VDIVPD
_mm256_mask_div_ps,VDIVPS
_mm256_maskz_div_ps,VDIVPS
_mm_mask_div_ps,VDIVPS
_mm_maskz_div_ps,VDIVPS
_mm256_mask_expand_pd,VEXPANDPD
_mm256_maskz_expand_pd,VEXPANDPD
_mm_mask_expand_pd,VEXPANDPD
_mm_maskz_expand_pd,VEXPANDPD
_mm256_mask_expand_ps,VEXPANDPS
_mm256_maskz_expand_ps,VEXPANDPS
_mm_mask_expand_ps,VEXPANDPS
_mm_maskz_expand_ps,VEXPANDPS
_mm256_extractf32x4_ps,VEXTRACTF32X4
_mm256_mask_extractf32x4_ps,VEXTRACTF32X4
_mm256_maskz_extractf32x4_ps,VEXTRACTF32X4
_mm256_extracti32x4_epi32,VEXTRACTI32X4
_mm256_mask_extracti32x4_epi32,VEXTRACTI32X4
_mm256_maskz_extracti32x4_epi32,VEXTRACTI32X4
_mm256_mask3_fmadd_pd,VFMADD132PD
_mm256_mask_fmadd_pd,VFMADD132PD
_mm256_maskz_fmadd_pd,VFMADD132PD
_mm_mask3_fmadd_pd,VFMADD132PD
_mm_mask_fmadd_pd,VFMADD132PD
_mm_maskz_fmadd_pd,VFMADD132PD
_mm256_mask3_fmadd_ps,VFMADD132PS
_mm256_mask_fmadd_ps,VFMADD132PS
_mm256_maskz_fmadd_ps,VFMADD132PS
_mm_mask3_fmadd_ps,VFMADD132PS
_mm_mask_fmadd_ps,VFMADD132PS
_mm_maskz_fmadd_ps,VFMADD132PS
_mm256_mask3_fmaddsub_pd,VFMADDSUB132PD
_mm256_mask_fmaddsub_pd,VFMADDSUB132PD
_mm256_maskz_fmaddsub_pd,VFMADDSUB132PD
_mm_mask3_fmaddsub_pd,VFMADDSUB132PD
_mm_mask_fmaddsub_pd,VFMADDSUB132PD
_mm_maskz_fmaddsub_pd,VFMADDSUB132PD
_mm256_mask3_fmaddsub_ps,VFMADDSUB132PS
_mm256_mask_fmaddsub_ps,VFMADDSUB132PS
_mm256_maskz_fmaddsub_ps,VFMADDSUB132PS
_mm_mask3_fmaddsub_ps,VFMADDSUB132PS
_mm_mask_fmaddsub_ps,VFMADDSUB132PS
_mm_maskz_fmaddsub_ps,VFMADDSUB132PS
_mm256_mask3_fmsub_pd,VFMSUB132PD
_mm256_mask_fmsub_pd,VFMSUB132PD
_mm256_maskz_fmsub_pd,VFMSUB132PD
_mm_mask3_fmsub_pd,VFMSUB132PD
_mm_mask_fmsub_pd,VFMSUB132PD
_mm_maskz_fmsub_pd,VFMSUB132PD
_mm256_mask3_fmsub_ps,VFMSUB132PS
_mm256_mask_fmsub_ps,VFMSUB132PS
_mm256_maskz_fmsub_ps,VFMSUB132PS
_mm_mask3_fmsub_ps,VFMSUB132PS
_mm_mask_fmsub_ps,VFMSUB132PS
_mm_maskz_fmsub_ps,VFMSUB132PS
_mm256_mask3_fmsubadd_pd,VFMSUBADD132PD
_mm256_mask_fmsubadd_pd,VFMSUBADD132PD
_mm256_maskz_fmsubadd_pd,VFMSUBADD132PD
_mm_mask3_fmsubadd_pd,VFMSUBADD132PD
_mm_mask_fmsubadd_pd,VFMSUBADD132PD
_mm_maskz_fmsubadd_pd,VFMSUBADD132PD
_mm256_mask3_fmsubadd_ps,VFMSUBADD132PS
_mm256_mask_fmsubadd_ps,VFMSUBADD132PS
_mm256_maskz_fmsubadd_ps,VFMSUBADD132PS
_mm_mask3_fmsubadd_ps,VFMSUBADD132PS
_mm_mask_fmsubadd_ps,VFMSUBADD132PS
_mm_maskz_fmsubadd_ps,VFMSUBADD132PS
_mm256_mask3_fnmadd_pd,VFNMADD132PD
_mm256_mask_fnmadd_pd,VFNMADD132PD
_mm256_maskz_fnmadd_pd,VFNMADD132PD
_mm_mask3_fnmadd_pd,VFNMADD132PD
_mm_mask_fnmadd_pd,VFNMADD132PD
_mm_maskz_fnmadd_pd,VFNMADD132PD
_mm256_mask3_fnmadd_ps,VFNMADD132PS
_mm256_mask_fnmadd_ps,VFNMADD132PS
_mm256_maskz_fnmadd_ps,VFNMADD132PS
_mm_mask3_fnmadd_ps,VFNMADD132PS
_mm_mask_fnmadd_ps,VFNMADD132PS
_mm_maskz_fnmadd_ps,VFNMADD132PS
_mm256_mask3_fnmsub_pd,VFNMSUB132PD
_mm256_mask_fnmsub_pd,VFNMSUB132PD
_mm256_maskz_fnmsub_pd,VFNMSUB132PD
_mm_mask3_fnmsub_pd,VFNMSUB132PD
_mm_mask_fnmsub_pd,VFNMSUB132PD
_mm_maskz_fnmsub_pd,VFNMSUB132PD
_mm256_mask3_fnmsub_ps,VFNMSUB132PS
_mm256_mask_fnmsub_ps,VFNMSUB132PS
_mm256_maskz_fnmsub_ps,VFNMSUB132PS
_mm_mask3_fnmsub_ps,VFNMSUB132PS
_mm_mask_fnmsub_ps,VFNMSUB132PS
_mm_maskz_fnmsub_ps,VFNMSUB132PS
_mm256_insertf32x4,VINSERTF32X4
_mm256_mask_insertf32x4,VINSERTF32X4
_mm256_maskz_insertf32x4,VINSERTF32X4
_mm256_inserti32x4,VINSERTI32X4
_mm256_mask_inserti32x4,VINSERTI32X4
_mm256_maskz_inserti32x4,VINSERTI32X4
_mm256_mask_max_pd,VMAXPD
_mm256_maskz_max_pd,VMAXPD
_mm_mask_max_pd,VMAXPD
_mm_maskz_max_pd,VMAXPD
_mm256_mask_max_ps,VMAXPS
_mm256_maskz_max_ps,VMAXPS
_mm_mask_max_ps,VMAXPS
_mm_maskz_max_ps,VMAXPS
_mm256_mask_min_pd,VMINPD
_mm256_maskz_min_pd,VMINPD
_mm_mask_min_pd,VMINPD
_mm_maskz_min_pd,VMINPD
_mm256_mask_min_ps,VMINPS
_mm256_maskz_min_ps,VMINPS
_mm_mask_min_ps,VMINPS
_mm_maskz_min_ps,VMINPS
_mm256_mask_mov_pd,VMOVAPD
_mm256_maskz_mov_pd,VMOVAPD
_mm_mask_mov_pd,VMOVAPD
_mm_maskz_mov_pd,VMOVAPD
_mm256_mask_mov_ps,VMOVAPS
_mm256_maskz_mov_ps,VMOVAPS
_mm_mask_mov_ps,VMOVAPS
_mm_maskz_mov_ps,VMOVAPS
_mm256_mask_movedup_pd,VMOVDDUP
_mm256_maskz_movedup_pd,VMOVDDUP
_mm_mask_movedup_pd,VMOVDDUP
_mm_maskz_movedup_pd,VMOVDDUP
_mm256_mask_mov_epi32,VMOVDQA32
_mm256_maskz_mov_epi32,VMOVDQA32
_mm_mask_mov_epi32,VMOVDQA32
_mm_maskz_mov_epi32,VMOVDQA32
_mm256_mask_mov_epi64,VMOVDQA64
_mm256_maskz_mov_epi64,VMOVDQA64
_mm_mask_mov_epi64,VMOVDQA64
_mm_maskz_mov_epi64,VMOVDQA64
_mm256_mask_movehdup_ps,VMOVSHDUP
_mm256_maskz_movehdup_ps,VMOVSHDUP
_mm_mask_movehdup_ps,VMOVSHDUP
_mm_maskz_movehdup_ps,VMOVSHDUP
_mm256_mask_moveldup_ps,VMOVSLDUP
_mm256_maskz_moveldup_ps,VMOVSLDUP
_mm_mask_moveldup_ps,VMOVSLDUP
_mm_maskz_moveldup_ps,VMOVSLDUP
_mm256_mask_mul_pd,VMULPD
_mm256_maskz_mul_pd,VMULPD
_mm_mask_mul_pd,VMULPD
_mm_maskz_mul_pd,VMULPD
_mm256_mask_mul_ps,VMULPS
_mm256_maskz_mul_ps,VMULPS
_mm_mask_mul_ps,VMULPS
_mm_maskz_mul_ps,VMULPS
_mm256_mask_abs_epi32,VPABSD
_mm256_maskz_abs_epi32,VPABSD
_mm_mask_abs_epi32,VPABSD
_mm_maskz_abs_epi32,VPABSD
_mm256_abs_epi64,VPABSQ
_mm256_mask_abs_epi64,VPABSQ
_mm256_maskz_abs_epi64,VPABSQ
_mm_abs_epi64,VPABSQ
_mm_mask_abs_epi64,VPABSQ
_mm_maskz_abs_epi64,VPABSQ
_mm256_mask_add_epi32,VPADDD
_mm256_maskz_add_epi32,VPADDD
_mm_mask_add_epi32,VPADDD
_mm_maskz_add_epi32,VPADDD
_mm256_mask_add_epi64,VPADDQ
_mm256_maskz_add_epi64,VPADDQ
_mm_mask_add_epi64,VPADDQ
_mm_maskz_add_epi64,VPADDQ
_mm256_mask_and_epi32,VPANDD
_mm256_maskz_and_epi32,VPANDD
_mm_mask_and_epi32,VPANDD
_mm_maskz_and_epi32,VPANDD
_mm256_mask_andnot_epi32,VPANDND
_mm256_maskz_andnot_epi32,VPANDND
_mm_mask_andnot_epi32,VPANDND
_mm_maskz_andnot_epi32,VPANDND
_mm256_mask_andnot_epi64,VPANDNQ
_mm256_maskz_andnot_epi64,VPANDNQ
_mm_mask_andnot_epi64,VPANDNQ
_mm_maskz_andnot_epi64,VPANDNQ
_mm256_mask_and_epi64,VPANDQ
_mm256_maskz_and_epi64,VPANDQ
_mm_mask_and_epi64,VPANDQ
_mm_maskz_and_epi64,VPANDQ
_mm256_mask_blend_epi32,VPBLENDMD
_mm_mask_blend_epi32,VPBLENDMD
_mm256_mask_blend_epi64,VPBLENDMQ
_mm_mask_blend_epi64,VPBLENDMQ
_mm256_mask_broadcastd_epi32,VPBROADCASTD
_mm256_mask_set1_epi32,VPBROADCASTD
_mm256_maskz_broadcastd_epi32,VPBROADCASTD
_mm256_maskz_set1_epi32,VPBROADCASTD
_mm_mask_broadcastd_epi32,VPBROADCASTD
_mm_mask_set1_epi32,VPBROADCASTD
_mm_maskz_broadcastd_epi32,VPBROADCASTD
_mm_maskz_set1_epi32,VPBROADCASTD
_mm256_mask_broadcastq_epi64,VPBROADCASTQ
_mm256_mask_set1_epi64,VPBROADCASTQ
_mm256_maskz_broadcastq_epi64,VPBROADCASTQ
_mm256_maskz_set1_epi64,VPBROADCASTQ
_mm_mask_broadcastq_epi64,VPBROADCASTQ
_mm_mask_set1_epi64,VPBROADCASTQ
_mm_maskz_broadcastq_epi64,VPBROADCASTQ
_mm_maskz_set1_epi64,VPBROADCASTQ
_mm256_cmpeq_epi32_mask,VPCMPD
_mm256_cmpge_epi32_mask,VPCMPD
_mm256_cmpgt_epi32_mask,VPCMPD
_mm256_cmple_epi32_mask,VPCMPD
_mm256_cmplt_epi32_mask,VPCMPD
_mm256_cmpneq_epi32_mask,VPCMPD
_mm256_mask_cmpeq_epi32_mask,VPCMPD
_mm256_mask_cmpge_epi32_mask,VPCMPD
_mm256_mask_cmpgt_epi32_mask,VPCMPD
_mm256_mask_cmple_epi32_mask,VPCMPD
_mm256_mask_cmplt_epi32_mask,VPCMPD
_mm256_mask_cmpneq_epi32_mask,VPCMPD
_mm_cmpeq_epi32_mask,VPCMPD
_mm_cmpge_epi32_mask,VPCMPD
_mm_cmpgt_epi32_mask,VPCMPD
_mm_cmple_epi32_mask,VPCMPD
_mm_cmplt_epi32_mask,VPCMPD
_mm_cmpneq_epi32_mask,VPCMPD
_mm_mask_cmpeq_epi32_mask,VPCMPD
_mm_mask_cmpge_epi32_mask,VPCMPD
_mm_mask_cmpgt_epi32_mask,VPCMPD
_mm_mask_cmple_epi32_mask,VPCMPD
_mm_mask_cmplt_epi32_mask,VPCMPD
_mm_mask_cmpneq_epi32_mask,VPCMPD
_mm256_cmpeq_epi64_mask,VPCMPQ
_mm256_cmpge_epi64_mask,VPCMPQ
_mm256_cmpgt_epi64_mask,VPCMPQ
_mm256_cmple_epi64_mask,VPCMPQ
_mm256_cmplt_epi64_mask,VPCMPQ
_mm256_cmpneq_epi64_mask,VPCMPQ
_mm256_mask_cmpeq_epi64_mask,VPCMPQ
_mm256_mask_cmpge_epi64_mask,VPCMPQ
_mm256_mask_cmpgt_epi64_mask,VPCMPQ
_mm256_mask_cmple_epi64_mask,VPCMPQ
_mm256_mask_cmplt_epi64_mask,VPCMPQ
_mm256_mask_cmpneq_epi64_mask,VPCMPQ
_mm_cmpeq_epi64_mask,VPCMPQ
_mm_cmpge_epi64_mask,VPCMPQ
_mm_cmpgt_epi64_mask,VPCMPQ
_mm_cmple_epi64_mask,VPCMPQ
_mm_cmplt_epi64_mask,VPCMPQ
_mm_cmpneq_epi64_mask,VPCMPQ
_mm_mask_cmpeq_epi64_mask,VPCMPQ
_mm_mask_cmpge_epi64_mask,VPCMPQ
_mm_mask_cmpgt_epi64_mask,VPCMPQ
_mm_mask_cmple_epi64_mask,VPCMPQ
_mm_mask_cmplt_epi64_mask,VPCMPQ
_mm_mask_cmpneq_epi64_mask,VPCMPQ
_mm256_cmpeq_epu32_mask,VPCMPUD
_mm256_cmpge_epu32_mask,VPCMPUD
_mm256_cmpgt_epu32_mask,VPCMPUD
_mm256_cmple_epu32_mask,VPCMPUD
_mm256_cmplt_epu32_mask,VPCMPUD
_mm256_cmpneq_epu32_mask,VPCMPUD
_mm256_mask_cmpeq_epu32_mask,VPCMPUD
_mm256_mask_cmpge_epu32_mask,VPCMPUD
_mm256_mask_cmpgt_epu32_mask,VPCMPUD
_mm256_mask_cmple_epu32_mask,VPCMPUD
_mm256_mask_cmplt_epu32_mask,VPCMPUD
_mm256_mask_cmpneq_epu32_mask,VPCMPUD
_mm_cmpeq_epu32_mask,VPCMPUD
_mm_cmpge_epu32_mask,VPCMPUD
_mm_cmpgt_epu32_mask,VPCMPUD
_mm_cmple_epu32_mask,VPCMPUD
_mm_cmplt_epu32_mask,VPCMPUD
_mm_cmpneq_epu32_mask,VPCMPUD
_mm_mask_cmpeq_epu32_mask,VPCMPUD
_mm_mask_cmpge_epu32_mask,VPCMPUD
_mm_mask_cmpgt_epu32_mask,VPCMPUD
_mm_mask_cmple_epu32_mask,VPCMPUD
_mm_mask_cmplt_epu32_mask,VPCMPUD
_mm_mask_cmpneq_epu32_mask,VPCMPUD
_mm256_cmpeq_epu64_mask,VPCMPUQ
_mm256_cmpge_epu64_mask,VPCMPUQ
_mm256_cmpgt_epu64_mask,VPCMPUQ
_mm256_cmple_epu64_mask,VPCMPUQ
_mm256_cmplt_epu64_mask,VPCMPUQ
_mm256_cmpneq_epu64_mask,VPCMPUQ
_mm256_mask_cmpeq_epu64_mask,VPCMPUQ
_mm256_mask_cmpge_epu64_mask,VPCMPUQ
_mm256_mask_cmpgt_epu64_mask,VPCMPUQ
_mm256_mask_cmple_epu64_mask,VPCMPUQ
_mm256_mask_cmplt_epu64_mask,VPCMPUQ
_mm256_mask_cmpneq_epu64_mask,VPCMPUQ
_mm_cmpeq_epu64_mask,VPCMPUQ
_mm_cmpge_epu64_mask,VPCMPUQ
_mm_cmpgt_epu64_mask,VPCMPUQ
_mm_cmple_epu64_mask,VPCMPUQ
_mm_cmplt_epu64_mask,VPCMPUQ
_mm_cmpneq_epu64_mask,VPCMPUQ
_mm_mask_cmpeq_epu64_mask,VPCMPUQ
_mm_mask_cmpge_epu64_mask,VPCMPUQ
_mm_mask_cmpgt_epu64_mask,VPCMPUQ
_mm_mask_cmple_epu64_mask,VPCMPUQ
_mm_mask_cmplt_epu64_mask,VPCMPUQ
_mm_mask_cmpneq_epu64_mask,VPCMPUQ
_mm256_mask_compress_epi32,VPCOMPRESSD
_mm256_maskz_compress_epi32,VPCOMPRESSD
_mm_mask_compress_epi32,VPCOMPRESSD
_mm_maskz_compress_epi32,VPCOMPRESSD
_mm256_mask_compress_epi64,VPCOMPRESSQ
_mm256_maskz_compress_epi64,VPCOMPRESSQ
_mm_mask_compress_epi64,VPCOMPRESSQ
_mm_maskz_compress_epi64,VPCOMPRESSQ
_mm256_mask_permutexvar_epi32,VPERMD
_mm256_maskz_permutexvar_epi32,VPERMD
_mm256_permutexvar_epi32,VPERMD
_mm256_mask2_permutex2var_epi32,VPERMI2D
_mm256_mask_permutex2var_epi32,VPERMT2D
_mm256_maskz_permutex2var_epi32,VPERMI2D
_mm256_permutex2var_epi32,VPERMI2D
_mm_mask2_permutex2var_epi32,VPERMI2D
_mm_mask_permutex2var_epi32,VPERMT2D
_mm_maskz_permutex2var_epi32,VPERMI2D
_mm_permutex2var_epi32,VPERMI2D
_mm256_mask2_permutex2var_pd,VPERMI2PD
_mm256_mask_permutex2var_pd,VPERMT2PD
_mm256_maskz_permutex2var_pd,VPERMI2PD
_mm256_permutex2var_pd,VPERMI2PD
_mm_mask2_permutex2var_pd,VPERMI2PD
_mm_mask_permutex2var_pd,VPERMT2PD
_mm_maskz_permutex2var_pd,VPERMI2PD
_mm_permutex2var_pd,VPERMI2PD
_mm256_mask2_permutex2var_ps,VPERMI2PS
_mm256_mask_permutex2var_ps,VPERMT2PS
_mm256_maskz_permutex2var_ps,VPERMI2PS
_mm256_permutex2var_ps,VPERMI2PS
_mm_mask2_permutex2var_ps,VPERMI2PS
_mm_mask_permutex2var_ps,VPERMT2PS
_mm_maskz_permutex2var_ps,VPERMI2PS
_mm_permutex2var_ps,VPERMI2PS
_mm256_mask2_permutex2var_epi64,VPERMI2Q
_mm256_mask_permutex2var_epi64,VPERMT2Q
_mm256_maskz_permutex2var_epi64,VPERMI2Q
_mm256_permutex2var_epi64,VPERMI2Q
_mm_mask2_permutex2var_epi64,VPERMI2Q
_mm_mask_permutex2var_epi64,VPERMT2Q
_mm_maskz_permutex2var_epi64,VPERMI2Q
_mm_permutex2var_epi64,VPERMI2Q
_mm256_mask_permute_pd,VPERMILPD
_mm256_mask_permutevar_pd,VPERMILPD
_mm256_maskz_permute_pd,VPERMILPD
_mm256_maskz_permutevar_pd,VPERMILPD
_mm_mask_permute_pd,VPERMILPD
_mm_mask_permutevar_pd,VPERMILPD
_mm_maskz_permute_pd,VPERMILPD
_mm_maskz_permutevar_pd,VPERMILPD
_mm256_mask_permute_ps,VPERMILPS
_mm256_mask_permutevar_ps,VPERMILPS
_mm256_maskz_permute_ps,VPERMILPS
_mm256_maskz_permutevar_ps,VPERMILPS
_mm_mask_permute_ps,VPERMILPS
_mm_mask_permutevar_ps,VPERMILPS
_mm_maskz_permute_ps,VPERMILPS
_mm_maskz_permutevar_ps,VPERMILPS
_mm256_mask_permutex_pd,VPERMPD
_mm256_mask_permutexvar_pd,VPERMPD
_mm256_maskz_permutex_pd,VPERMPD
_mm256_maskz_permutexvar_pd,VPERMPD
_mm256_permutex_pd,VPERMPD
_mm256_permutexvar_pd,VPERMPD
_mm256_mask_permutexvar_ps,VPERMPS
_mm256_maskz_permutexvar_ps,VPERMPS
_mm256_permutexvar_ps,VPERMPS
_mm256_mask_permutex_epi64,VPERMQ
_mm256_mask_permutexvar_epi64,VPERMQ
_mm256_maskz_permutex_epi64,VPERMQ
_mm256_maskz_permutexvar_epi64,VPERMQ
_mm256_permutex_epi64,VPERMQ
_mm256_permutexvar_epi64,VPERMQ
_mm256_mask_expand_epi32,VPEXPANDD
_mm256_maskz_expand_epi32,VPEXPANDD
_mm_mask_expand_epi32,VPEXPANDD
_mm_maskz_expand_epi32,VPEXPANDD
_mm256_mask_expand_epi64,VPEXPANDQ
_mm256_maskz_expand_epi64,VPEXPANDQ
_mm_mask_expand_epi64,VPEXPANDQ
_mm_maskz_expand_epi64,VPEXPANDQ
_mm256_mask_max_epi32,VPMAXSD
_mm256_maskz_max_epi32,VPMAXSD
_mm_mask_max_epi32,VPMAXSD
_mm_maskz_max_epi32,VPMAXSD
_mm256_mask_max_epi64,VPMAXSQ
_mm256_maskz_max_epi64,VPMAXSQ
_mm256_max_epi64,VPMAXSQ
_mm_mask_max_epi64,VPMAXSQ
_mm_maskz_max_epi64,VPMAXSQ
